Date,Datetime,Close_Real_EYAC2,Volume_EYAC2,Close_Dolar_EYAC2,Price_Dolar_Petro,Volume_Petro,Change%_Petro,Índice_Ibovespa,Change%_Ibovespa,Value_IPCA
2022-08-10,2022-08-10 16:56:00,37.14792091,78369686.6,7.318633695181056,91.2,157.22,1.71%,110235.76,4.507465451436232,-0.36%
2022-08-11,2022-08-11 16:56:00,36.82570395,128896537.0,7.280828792581901,93.53,162.98,2.55%,109717.94,11.71488831457841,-0.36%
2022-08-12,2022-08-12 16:56:00,31.70057222,171287908.0,6.227643207669489,91.46,132.28,-2.21%,112764.26,14.748012159410662,-0.36%
2022-08-15,2022-08-15 16:56:00,29.47220719,96759187.9,5.883380682317243,88.85,134.21,-2.85%,113031.98,17.069714451429817,-0.36%
2022-08-16,2022-08-16 16:56:00,31.02389875,64218710.58,6.141765238651436,86.16,191.53,-3.03%,113512.38,4.878043372088703,-0.36%
2022-08-17,2022-08-17 16:56:00,30.77833026,72924755.6,6.124431451596856,87.69,187.6,1.78%,113707.76,13.907165884597571,-0.36%
2022-08-18,2022-08-18 16:56:00,35.23995762,84552489.2,6.957955578810195,90.11,247.56,2.76%,113812.87,17.434394047719405,-0.36%
2022-08-19,2022-08-19 16:56:00,29.51182122,125178196.0,5.751222126515181,90.44,255.42,0.37%,111496.21,13.488154080419523,-0.36%
2022-08-22,2022-08-22 16:56:00,33.98200762,92400014.93,6.625852091173201,90.36,352.67,-0.09%,110500.53,11.701522428850495,-0.36%
2022-08-23,2022-08-23 16:56:00,36.21044627,73215575.92,7.133095553935861,93.25,92.18,3.20%,112857.1,15.065975505386708,-0.36%
2022-08-24,2022-08-24 16:56:00,32.57009841,61067855.32,6.460910993632342,94.4,92.6,1.23%,112897.84,14.417000279511182,-0.36%
2022-08-25,2022-08-25 16:56:00,34.46526326,99511668.4,6.939407896750293,92.19,81.5,-2.34%,113531.72,13.226179155548756,-0.36%
2022-08-26,2022-08-26 16:56:00,34.86099799,63545366.33,7.084416759470005,92.39,100.62,0.22%,112298.86,12.555836229696029,-0.36%
2022-08-29,2022-08-29 16:56:00,34.99992572,73339585.5,7.186252817017083,96.19,85.04,4.11%,112323.12,8.877485116273798,-0.36%
2022-08-30,2022-08-30 16:56:00,28.23697049,99361197.49,5.87450235920694,91.17,120.37,-5.22%,110430.64,12.064597869232353,-0.36%
2022-08-31,2022-08-31 16:56:00,32.03340056,114235388.8,6.704072780544975,89.03,99.45,-2.35%,109522.88,-1.6413306054907095,-0.36%
2022-09-01,2022-09-01 16:56:00,36.04603375,69184735.46,7.5244825696691375,86.22,85.18,-3.16%,110405.3,8.002165417723317,-0.29%
2022-09-02,2022-09-02 16:56:00,32.6976891,81792454.15,6.885753506296592,86.48,81.8,0.30%,110864.24,7.258529997087915,-0.29%
2022-09-05,2022-09-05 16:56:00,30.77899539,76337776.14,6.480197778807082,88.96,98.7225,0.80%,112203.35,5.383043717066438,-0.29%
2022-09-06,2022-09-06 16:56:00,34.99737685,111813424.4,7.386841329308963,86.51,104.66,-2.75%,109763.77,11.18811195172398,-0.29%
2022-09-08,2022-09-08 16:56:00,31.45250282,63159986.87,6.694300787502128,83.07,131.42,1.76%,109915.64,1.3960685509629922,-0.29%
2022-09-09,2022-09-09 16:56:00,31.4303179,49872046.51,6.806782436383324,86.36,139.12,3.96%,112300.41,3.3587894456611256,-0.29%
2022-09-12,2022-09-12 16:56:00,31.15437664,71374608.42,6.714305310344828,87.41,133.78,1.22%,113406.55,0.5695864984171406,-0.29%
2022-09-13,2022-09-13 16:56:00,30.45467442,88327499.58,6.48427074754615,86.89,183.48,-0.59%,110793.96,13.192324242990171,-0.29%
2022-09-14,2022-09-14 16:56:00,30.28037406,49039622.17,6.385300927839399,88.05,208.02,1.34%,110546.67,15.008002946291032,-0.29%
2022-09-15,2022-09-15 16:56:00,30.48114945,45553367.54,6.415328320670133,84.65,182.29,-3.86%,109953.65,-2.7234150901364385,-0.29%
2022-09-16,2022-09-16 16:56:00,33.47042919,107303562.3,7.11758196491228,84.76,231.14,0.13%,109280.37,-3.7282365148189167,-0.29%
2022-09-19,2022-09-19 16:56:00,31.29301668,65559791.23,6.732142219736248,85.36,262.9,0.71%,111823.89,0.2938933978114511,-0.29%
2022-09-20,2022-09-20 16:56:00,28.65913435,67798320.25,6.122307652047596,83.94,279.81,-1.66%,112516.91,14.47811471791287,-0.29%
2022-09-21,2022-09-21 16:56:00,29.90774726,58811986.22,6.342030463548073,82.43,144.13,-1.80%,111935.86,13.02865494460088,-0.29%
2022-09-22,2022-09-22 16:56:00,32.73787129,69764222.72,7.003352434432893,83.03,121.08,0.73%,114070.48,3.230708486194578,-0.29%
2022-09-23,2022-09-23 16:56:00,28.06968876,138630571.5,6.015277035830618,78.25,143.23,-5.76%,111716.0,-1.0111016497854397,-0.29%
2022-09-26,2022-09-26 16:56:00,29.85950277,80026088.44,6.435653764251998,76.18,106.23,-2.65%,109114.16,-2.8359148080398966,-0.29%
2022-09-27,2022-09-27 16:56:00,28.25898449,71087697.05,5.971133095972616,77.81,123.82,2.14%,108376.35,6.840033060601769,-0.29%
2022-09-28,2022-09-28 16:56:00,31.52263154,104670540.2,6.45717389897169,81.24,156.31,4.41%,108451.2,5.70636509999447,-0.29%
2022-09-29,2022-09-29 16:56:00,29.35923192,87536555.51,5.911334095759675,80.42,127.46,-1.01%,107664.35,-4.1476501008875015,-0.29%
2022-09-30,2022-09-30 16:56:00,31.12836352,121637156.0,6.204948177088524,78.72,95.34,-2.11%,110036.79,-0.3566492053292514,-0.29%
2022-10-03,2022-10-03 16:56:00,29.96540939,179693870.9,5.9799260407104375,82.7,135.99,5.06%,116134.46,11.910207769371103,0.59%
2022-10-04,2022-10-04 16:56:00,32.5047423,115917217.4,6.607863694578276,85.5,156.0,3.39%,116230.12,9.762662450555858,0.59%
2022-10-05,2022-10-05 16:56:00,33.73114496,92893755.5,6.710528977837902,86.84,160.03,1.57%,117197.82,4.451266383757702,0.59%
2022-10-06,2022-10-06 16:56:00,34.10944165,82672076.7,6.799179071899855,87.59,108.49,0.86%,117560.83,7.103491434377651,0.59%
2022-10-07,2022-10-07 16:56:00,33.14248045,73499970.83,6.616189976643444,91.35,242.27,4.29%,116375.25,15.53218851397582,0.59%
2022-10-10,2022-10-10 16:56:00,30.94163022,52222525.76,6.182020383209127,89.84,156.09,-1.65%,115940.64,5.175162760251295,0.59%
2022-10-11,2022-10-11 16:56:00,37.58440651,58332422.43,7.405794386206897,87.97,187.52,-2.08%,114827.12,4.656649587114004,0.59%
2022-10-13,2022-10-13 16:56:00,34.24868731,91144008.51,6.670955845344761,87.95,185.66,2.20%,114300.09,3.1645497642651232,0.59%
2022-10-14,2022-10-14 16:56:00,37.69889323,62246172.2,7.335842231951742,84.65,161.13,-3.75%,112072.34,1.3801139373985638,0.59%
2022-10-17,2022-10-17 16:56:00,33.7001221,100936364.1,6.5764035008976665,84.53,174.19,-0.14%,113623.98,-0.0736801076725135,0.59%
2022-10-18,2022-10-18 16:56:00,36.64889408,82313189.01,7.118778229284021,82.07,367.5,-2.91%,115743.07,1.6959417682727906,0.59%
2022-10-19,2022-10-19 16:56:00,37.54087762,113701058.5,7.350147355849242,84.52,357.72,2.99%,116274.24,3.979784641725481,0.59%
2022-10-20,2022-10-20 16:56:00,35.82730866,114347219.8,7.071272383847155,84.51,338.34,-0.01%,117171.11,4.136444913035731,0.59%
2022-10-21,2022-10-21 16:56:00,35.34109355,139601289.7,7.114319500362347,83.95,83.09,-0.66%,119928.79,7.140633930895768,0.59%
2022-10-24,2022-10-24 16:56:00,35.79040072,142110683.8,7.216970624294241,83.59,58.38,-0.43%,116012.7,2.759007612545994,0.59%
2022-10-25,2022-10-25 16:56:00,33.91194342,113161282.8,6.892951628114964,84.31,77.8,0.86%,114625.59,0.963492845876024,0.59%
2022-10-26,2022-10-26 16:56:00,33.28548269,121334573.5,6.824011868298584,86.68,80.03,2.81%,112763.79,3.344781282282683,0.59%
2022-10-27,2022-10-27 16:56:00,32.28298537,111008740.2,6.72940724365789,87.83,110.53,1.33%,114640.76,5.780237108926434,0.59%
2022-10-28,2022-10-28 16:56:00,32.30784588,129745464.0,6.715970124308819,86.61,78.71,-1.39%,114539.05,5.613446416452761,0.59%
2022-10-31,2022-10-31 16:56:00,30.54155245,262409224.1,6.3155880911515965,85.4,81.4,-1.40%,116037.08,5.947798304792573,0.59%
2022-11-01,2022-11-01 16:56:00,27.89771014,115944131.7,5.816021460587487,87.19,81.92,2.10%,116928.66,5.908556926162056,0.41%
2022-11-03,2022-11-03 16:56:00,27.69342409,139062504.8,5.838306718809292,87.18,80.43,-1.89%,116896.36,0.6560498925125113,0.41%
2022-11-04,2022-11-04 16:56:00,29.68080455,195360957.2,6.286175141901051,91.45,104.87,4.90%,118155.46,1.65648972916832,0.41%
2022-11-07,2022-11-07 16:56:00,28.78444907,117206454.7,6.086922766393876,90.73,143.34,-0.79%,115342.4,-0.8875168904041053,0.41%
